name,external_id
Belt shop,belt_shop
Bengali restaurant,bengali_restaurant
Bentley dealer,bentley_dealer
Berry restaurant,berry_restaurant
Berufsfachschule (vocational school with apprenticeship),berufsfachschule
Betawi restaurant,betawi_restaurant
Betting agency,betting_agency
Beverage distributor,beverage_distributor
Bicycle club,bicycle_club
Bicycle rack,bicycle_rack
Bicycle rental service,bicycle_rental_service
Bicycle repair shop,bicycle_repair_shop
Bicycle store,bicycle_store
Bicycle wholesaler,bicycle_wholesale
Bike wash,bike_wash
Bikram yoga studio,bikram_yoga_studio
Bilingual school,bilingual_school
Billiards supply store,billiards_supply_store
Bingo hall,bingo_hall
Biochemical supplier,biochemical_supplier
Biochemistry lab,biochemistry_lab
Biofeedback therapist,biofeedback_therapist
Biotechnology company,biotechnology_company
Biotechnology engineer,biotechnology_engineer
Bird control service,bird_control_service
Bird shop,bird_shop
Bird watching area,bird_watching_area
Birth center,birth_center
Birth certificate service,birth_certificate_service
Birth control center,birth_control_center
Biryani restaurant,biryani_restaurant
Bistro,bistro
Blacksmith,blacksmith
Blast cleaning service,blast_cleaning_service
Blinds shop,blinds_shop
Blood bank,blood_bank
Blood donation center,blood_donation_center
Blood testing service,blood_testing_service
Blueprint service,blueprint_service
Blues club,blues_club
Board game club,board_game_club
Board of education,board_of_education
Boarding house,boarding_house
Boarding school,boarding_school
Boat accessories supplier,boat_accessories_supplier
Boat builders,boat_builder
Boat cleaning service,boat_cleaning_service
Boat club,boat_club
Boat cover supplier,boat_cover_supplier
Boat dealer,boat_dealer
Boat ramp,boat_ramp
Boat rental service,boat_rental_service
Boat repair shop,boat_repair_shop
Boat storage facility,boat_storage_facility
Boat tour agency,boat_tour_agency
Boat trailer dealer,boat_trailer_dealer
Boating instructor,boating_instructor
Bocce ball court,bocce_ball_court
Body piercing shop,body_piercing_shop
Body shaping class,body_shaping_class
Boiler manufacturer,boiler_manufacturer
Boiler supplier,boiler_supplier
Bonesetting house,bonesetting_house
Bonsai plant supplier,bonsai_plant_supplier
Book publisher,book_publisher
Book store,book_store
Bookbinder,bookbinder
Bookkeeping service,bookkeeping_service
Bookmaker,bookmaker
Books wholesaler,books_wholesaler
Boot camp,boot_camp
Boot repair shop,boot_repair_shop
Boot store,boot_store
Border crossing station,border_crossing_station
Border guard,border_guard
Botanica,botanica
Botanical garden,botanical_garden
Bottle & can redemption center,bottle_and_can_redemption_center
Bottled water supplier,bottled_water_supplier
Bouncy castle hire,bouncy_castle_hire
Boutique,boutique
Bowling alley,bowling_alley
Bowling club,bowling_club
Bowling supply shop,bowling_supply_shop
Box lunch supplier,box_lunch_supplier
Boxing club,boxing_club
Boxing gym,boxing_gym
Boxing ring,boxing_ring
Boys' high school,boys_high_school
Brake shop,brake_shop
Branding agency,branding_agency
Brasserie,restaurant_brasserie
Brazilian pastelaria,brazilian_pastelaria
Brazilian restaurant,brazilian_restaurant
Breakfast restaurant,breakfast_restaurant
Brewery,brewery
Brewing supply store,brewing_supply_store
Brewpub,brewpub
Brick manufacturer,brick_manufacturer
Bricklayer,bricklayer
Bridal shop,bridal_shop
Bridge,bridge
Bridge club,bridge_club
British restaurant,british_restaurant
