name,external_id,category_id
Aromatherapy supply store,aromatherapy_supply_store,96b7efe7-0c5d-44dd-84ea-4be31a4bd2d5
Art cafe,art_cafe,3ff4593a-4879-44a7-b196-bf0e7a03dc54
Art center,art_center,f3e8fc40-c29f-4964-bb03-159fc943c7e0
Art dealer,art_dealer,f1583817-b93e-4521-adf9-eb3439aadfd7
Art gallery,art_gallery,8873d9c4-4ca7-41bc-b8de-17df72e3fe1d
Art museum,art_museum,ed9372bf-2727-4dae-9591-f5d27cab7947
Art restoration service,art_restoration_service,28e4be24-bbc4-45c7-8a37-3e38a0dce8dd
Art school,art_school,084d697b-d42b-413b-b2f0-45c849aebcda
Art studio,art_studio,49841b9a-9064-4502-ae30-9a39451cb768
Art supply store,art_supply_store,f619d9ca-63f4-4992-b9d4-9eebbd6da72b
Artificial plant supplier,artificial_plant_supplier,8672b989-9944-4470-a18e-ed859687bfb2
Artist,artist,90eacec3-0e05-47b5-8637-9b31c2e3f236
Arts organization,arts_organization,6b7bae1a-8a50-4f1a-a43e-d9b810bfac30
Asbestos testing service,asbestos_testing_service,d6b1a570-6eea-4b2d-9258-d138ae8210e6
Ashram,ashram,6b5cde3f-ce1c-43fa-b636-262239f3c8d3
Asian fusion restaurant,asian_fusion_restaurant,7b478e79-90f0-4e7e-8cc8-3e19df5e463e
Asian grocery store,asian_grocery_store,9ec7dbda-5888-4576-8910-85dc1fe1b3c0
Asian household goods store,asian_household_goods_store,5b00bcb7-25ba-489c-aaf8-4266f39312bf
Asian restaurant,asian_restaurant,4df1edc5-02db-4c67-9605-bab38b447a81
Asphalt contractor,asphalt_contractor,55e67af5-ddb1-4ed0-901f-9e0719fca17f
Asphalt mixing plant,asphalt_mixing_plant,93919ab7-db73-43be-ba2b-33278cf52159
Assamese restaurant,assamese_restaurant,250ec241-0939-40e9-b179-1e3dd843b77d
Assemblies of God church,assemblies_of_god_church,2aff47c9-1bab-4a8b-b16e-a119d6269465
Assistante maternelle,assistante_maternelle,e894cb11-8c00-478f-9b4e-ac511fecb04c
Assisted living facility,assisted_living_facility,7d9902fb-eb85-405d-8512-264987135c89
Association or organization,association_or_organization,2e99bc44-4ac8-4469-b185-3642e25c03d9
Aston Martin dealer,aston_martin_dealer,1bf99085-9b9b-4e33-9aac-57da022e8536
Astrologer,astrologer,14fe0c71-6b26-456d-b75f-58d87b78e7d7
